category,rating,reviews,installs,type,price,content_rating,app_size,last_updated_encoded
Tools,4.2,9.350971501715929,13.815510557964274,Free,0.0,Everyone,3.5,1700
Tools,3.6,5.552959584921617,10.819778284410283,Free,0.0,Everyone,6.9,2914
Lifestyle,3.8,5.337538079701318,9.210340371976184,Free,0.0,Everyone,0.076171875,1867
Lifestyle,4.7,10.93661865367406,13.815510557964274,Free,0.0,Everyone,15.0,3139
Entertainment,4.4,15.922030400800502,18.420680743952367,Free,0.0,Teen,99.0,3126
Tools,3.6,5.707110264748875,10.819778284410283,Free,0.0,Everyone,2.3,2888
Lifestyle,4.5,6.467698726104354,11.512925464970229,Free,0.0,Everyone,5.5,3127
Tools,3.6,4.07753744390572,10.819778284410283,Free,0.0,Everyone,2.3,1572
Social,4.3,9.705280486511949,13.815510557964274,Free,0.0,Everyone,2.3,3096
Tools,4.4,12.82813458855984,16.11809565095832,Free,0.0,Everyone,21.0,3139
Social,4.6,14.633122402304314,17.72753356339242,Free,0.0,Everyone,6.1,3133
Tools,4.2,7.938445551164788,11.512925464970229,Free,0.0,Everyone,1.4,2602
Tools,4.6,8.536407410340042,13.815510557964274,Free,0.0,Everyone,19.0,3125
Lifestyle,3.0,10.657612233819894,15.424948470398375,Free,0.0,Everyone,1.6,3064
Tools,3.0,2.1972245773362196,4.605170185988092,Free,0.0,Everyone,8.4,3003
Lifestyle,4.3,4.852030263919617,9.210340371976184,Free,0.0,Everyone,22.0,2811
Lifestyle,4.6,11.258845788340366,16.11809565095832,Free,0.0,Everyone,39.0,3125
Entertainment,4.0,7.256297239690681,11.512925464970229,Free,0.0,Teen,17.0,2156
Entertainment,3.9,7.880804344674901,11.512925464970229,Free,0.0,Teen,9.1,2966
Entertainment,5.0,3.5263605246161616,8.517193191416238,Free,0.0,Everyone,12.0,3133
Lifestyle,3.6,9.95679132455844,13.815510557964274,Free,0.0,Everyone,7.9,2541
Lifestyle,3.0,4.543294782270004,9.210340371976184,Free,0.0,Everyone,30.0,3111
Lifestyle,4.2,8.239593454305968,13.815510557964274,Free,0.0,Everyone,44.0,3126
Lifestyle,4.7,10.108752224963046,13.815510557964274,Free,0.0,Everyone,24.0,3136
Tools,4.4,4.418840607796598,6.907755278982137,Paid,1.7,Everyone,8.6,2053
Lifestyle,4.5,11.680852245646507,13.815510557964274,Free,0.0,Teen,22.0,3065
Lifestyle,4.7,11.11350703877837,13.815510557964274,Free,0.0,Everyone,40.0,3134
Tools,3.7,9.160519676992227,13.122363377404328,Free,0.0,Everyone,7.0,3113
Entertainment,4.1,13.888986830637885,18.420680743952367,Free,0.0,Everyone,13.0,2939
Social,4.3,11.628243242150274,13.815510557964274,Free,0.0,Mature 17+,34.0,3107
Entertainment,4.2,10.710610530409502,16.11809565095832,Free,0.0,Teen,20.0,3013
Lifestyle,4.1,10.288307678667005,13.815510557964274,Free,0.0,Everyone,16.0,2059
Lifestyle,4.5,7.490529402060711,13.122363377404328,Free,0.0,Everyone,56.0,3074
Entertainment,2.8,1.6094379124341003,4.605170185988092,Free,0.0,Everyone,4.1,2870
Lifestyle,2.9,7.639642287858013,11.512925464970229,Free,0.0,Everyone,5.6,1982
Lifestyle,4.3,9.589050742775527,13.122363377404328,Free,0.0,Teen,68.0,3106
Tools,4.3,7.741967899820685,11.512925464970229,Free,0.0,Everyone,15.0,3135
Education/Business,4.2,8.723882104658486,13.815510557964274,Free,0.0,Everyone,10.0,3073
Social,5.0,0.6931471805599453,6.214608098422191,Free,0.0,Everyone,2.4,2387
Entertainment,4.3,11.073613976078233,13.815510557964274,Free,0.0,Mature 17+,4.4,3123
Lifestyle,4.0,8.459987717645458,13.122363377404328,Free,0.0,Everyone,35.0,3111
Tools,4.6,2.772588722239781,6.907755278982137,Free,0.0,Everyone,3.2,2791
Lifestyle,4.3,8.439015410352214,11.512925464970229,Free,0.0,Everyone,78.0,3109
Lifestyle,4.1,8.203577736937952,11.512925464970229,Free,0.0,Teen,25.0,2660
Social,4.1,5.541263545158426,9.210340371976184,Free,0.0,Everyone,1.6,2657
Tools,4.7,11.439903057224347,13.815510557964274,Free,0.0,Everyone,36.0,3129
Lifestyle,3.1,7.354362330421477,11.512925464970229,Free,0.0,Everyone,36.0,3065
Lifestyle,5.0,1.6094379124341003,4.605170185988092,Free,0.0,Everyone,3.2,2799
Tools,5.0,0.6931471805599453,6.214608098422191,Paid,2.99,Everyone,1.2,2175
Lifestyle,4.2,6.1092475827643655,11.512925464970229,Free,0.0,Everyone,5.9,3131
Lifestyle,2.9,8.798907492088226,13.122363377404328,Free,0.0,Everyone,18.0,3134
Lifestyle,4.5,12.3090397993812,15.424948470398375,Free,0.0,Teen,94.0,3139
Social,4.8,10.447061062761922,13.815510557964274,Free,0.0,Teen,27.0,3100
Education/Business,4.3,3.1354942159291497,6.907755278982137,Free,0.0,Everyone,93.0,3134
Entertainment,4.4,8.422662707570003,13.122363377404328,Free,0.0,Everyone,24.0,3134
Lifestyle,4.9,2.70805020110221,4.605170185988092,Free,0.0,Everyone,23.0,2209
Social,4.4,13.710221150889284,16.11809565095832,Free,0.0,Mature 17+,13.0,3133
Lifestyle,3.2,4.442651256490317,9.210340371976184,Free,0.0,Everyone,2.1,2303
Entertainment,4.1,9.665420700626543,13.815510557964274,Free,0.0,Everyone,54.0,3119
Lifestyle,3.9,6.943122422819428,11.512925464970229,Free,0.0,Everyone,33.0,3108
Lifestyle,4.0,5.365976015021851,9.210340371976184,Free,0.0,Everyone,8.9,3085
Education/Business,4.5,5.111987788356544,9.210340371976184,Free,0.0,Everyone,3.5,2928
Social,4.2,11.329471266980338,15.424948470398375,Free,0.0,Everyone,14.0,3030
Lifestyle,4.0,11.570760316641179,16.11809565095832,Free,0.0,Teen,43.0,3077
Lifestyle,3.5,11.636761256795127,15.424948470398375,Free,0.0,Everyone,36.0,2905
Lifestyle,4.1,3.044522437723423,8.517193191416238,Free,0.0,Everyone,26.0,2691
Entertainment,4.6,13.606072653706176,16.11809565095832,Free,0.0,Teen,77.0,3051
Education/Business,4.2,10.60080104196549,13.815510557964274,Free,0.0,Everyone,8.7,3132
Lifestyle,4.7,3.58351893845611,6.907755278982137,Free,0.0,Everyone,7.1,2992
Tools,1.9,5.187385805840755,9.210340371976184,Free,0.0,Everyone,10.0,2993
Lifestyle,3.8,6.244166900663736,11.512925464970229,Free,0.0,Everyone,85.0,3122
Lifestyle,4.5,15.25501079581951,17.72753356339242,Free,0.0,Everyone 10+,100.0,3091
Lifestyle,4.2,8.332789468417959,13.122363377404328,Free,0.0,Teen,23.0,3104
Tools,4.4,11.80866498879974,15.424948470398375,Free,0.0,Everyone,11.0,3129
Entertainment,3.5,6.803505257608338,10.819778284410283,Free,0.0,Everyone,63.0,3080
Lifestyle,4.3,4.844187086458591,9.210340371976184,Free,0.0,Everyone,5.5,2345
Entertainment,4.5,10.82011822662338,13.815510557964274,Free,0.0,Adults only 18+,41.0,3126
Lifestyle,3.9,9.221675881639928,11.512925464970229,Free,0.0,Everyone,48.0,3085
Tools,4.5,11.908380640449074,15.424948470398375,Free,0.0,Everyone,11.0,3117
Lifestyle,4.2,11.143686205266109,13.815510557964274,Free,0.0,Everyone,60.0,3030
Entertainment,4.6,11.43520173305942,15.424948470398375,Free,0.0,Everyone,56.0,3128
Lifestyle,4.5,10.006359975456757,13.815510557964274,Free,0.0,Everyone,88.0,3084
Lifestyle,4.0,8.108623268354595,11.512925464970229,Free,0.0,Everyone,47.0,3009
Education/Business,4.5,3.332204510175204,9.210340371976184,Free,0.0,Teen,1.4,2950
Lifestyle,3.9,7.387090235656757,9.210340371976184,Paid,4.99,Everyone,1.2,2230
Education/Business,4.2,8.712101863715663,13.122363377404328,Free,0.0,Everyone,32.0,3130
Lifestyle,4.2,12.946520786708083,16.11809565095832,Free,0.0,Everyone 10+,31.0,2363
Education/Business,5.0,1.6094379124341003,6.907755278982137,Free,0.0,Everyone,4.3,2472
Entertainment,3.8,4.07753744390572,8.517193191416238,Free,0.0,Everyone,1.8,3022
Lifestyle,3.4,7.652070746116482,11.512925464970229,Free,0.0,Everyone,8.2,2789
Lifestyle,3.9,12.069238662495462,16.11809565095832,Free,0.0,Everyone,7.9,3135
Education/Business,4.6,7.845807502637805,11.512925464970229,Free,0.0,Everyone,16.0,2709
Tools,4.0,1.6094379124341003,6.214608098422191,Free,0.0,Everyone,1.6,1992
Tools,2.8,6.0867747269123065,9.210340371976184,Paid,0.99,Everyone,23.0,3051
Tools,4.5,5.556828061699537,9.210340371976184,Free,0.0,Everyone,0.1982421875,1719
Lifestyle,3.3,5.8664680569332965,11.512925464970229,Free,0.0,Everyone,2.3,2894
Education/Business,3.9,3.828641396489095,8.517193191416238,Free,0.0,Everyone,3.0,3041
Lifestyle,4.7,4.219507705176107,9.210340371976184,Free,0.0,Everyone,6.5,2946
Lifestyle,3.8,4.8283137373023015,9.210340371976184,Free,0.0,Everyone,17.0,2608
Lifestyle,4.0,9.002824076547672,13.815510557964274,Free,0.0,Everyone,61.0,3133
Entertainment,4.2,15.16264248423267,17.72753356339242,Free,0.0,Everyone,82.0,3071
Social,4.4,10.381397345540462,13.815510557964274,Free,0.0,Everyone,5.5,2894
Social,4.3,9.165552189186048,13.122363377404328,Free,0.0,Teen,5.8,3072
Lifestyle,3.9,3.367295829986474,6.907755278982137,Free,0.0,Everyone 10+,37.0,3045
Education/Business,4.6,2.8903717578961645,4.605170185988092,Free,0.0,Everyone,1.8,1532
Lifestyle,4.7,12.930582825032259,16.11809565095832,Free,0.0,Everyone,10.0,3121
Entertainment,4.1,5.043425116919247,6.907755278982137,Paid,2.49,Everyone,32.0,3067
Entertainment,4.5,8.044305406990638,13.122363377404328,Free,0.0,Everyone,22.0,3136
Tools,4.4,7.738488122494646,11.512925464970229,Free,0.0,Everyone,19.0,3111
Tools,2.2,3.4657359027997265,6.907755278982137,Free,0.0,Everyone,9.4,3014
Lifestyle,4.0,11.449964365714996,16.11809565095832,Free,0.0,Everyone,44.0,2702
Tools,1.9,2.0794415416798357,6.907755278982137,Free,0.0,Everyone,6.7,3029
Lifestyle,3.7,3.6635616461296463,8.517193191416238,Free,0.0,Everyone,2.8,1503
Social,4.0,10.853174375028711,13.815510557964274,Free,0.0,Mature 17+,63.0,3128
Entertainment,4.7,9.964676720848551,13.815510557964274,Free,0.0,Everyone,29.0,3136
Education/Business,3.8,6.78105762593618,11.512925464970229,Free,0.0,Everyone,2.3,1480
Lifestyle,5.0,0.0,2.302585092994046,Free,0.0,Everyone,5.6,3099
Tools,3.8,6.327936783729195,10.819778284410283,Free,0.0,Everyone,0.306640625,3080
Lifestyle,4.7,5.713732805509369,9.210340371976184,Free,0.0,Everyone,42.0,3124
Entertainment,4.9,7.258412150595307,9.210340371976184,Free,0.0,Everyone,20.0,3114
Social,3.9,2.9444389791664403,8.517193191416238,Free,0.0,Teen,15.0,2965
Entertainment,2.6,2.0794415416798357,6.907755278982137,Free,0.0,Everyone,2.4,2881
Lifestyle,5.0,1.791759469228055,6.907755278982137,Free,0.0,Everyone,2.3,2315
Entertainment,4.0,8.951310542097564,11.512925464970229,Free,0.0,Everyone,46.0,3135
Tools,4.2,11.800642536809523,15.424948470398375,Free,0.0,Everyone,44.0,3098
Social,4.3,9.644652054641927,13.815510557964274,Free,0.0,Everyone,2.2,2502
Tools,4.2,3.5553480614894135,6.907755278982137,Paid,3.99,Everyone,0.0234375,2283
Lifestyle,4.3,3.5263605246161616,6.907755278982137,Free,0.0,Everyone,7.6,2797
Entertainment,4.6,14.019686557209909,16.11809565095832,Free,0.0,Teen,99.0,3122
Lifestyle,4.1,6.023447592961033,9.210340371976184,Free,0.0,Everyone,0.908203125,2236
Tools,4.4,6.466144724237619,9.210340371976184,Free,0.0,Everyone,2.8,2669
Lifestyle,4.1,10.069383274248214,13.815510557964274,Free,0.0,Teen,31.0,3024
Entertainment,4.6,7.457609289715606,13.122363377404328,Free,0.0,Everyone,19.0,3119
Lifestyle,4.7,9.241645221804594,13.815510557964274,Free,0.0,Everyone,32.0,3091
Tools,3.9,8.383433201236713,13.815510557964274,Free,0.0,Everyone,13.0,3097
Tools,3.2,8.817594036275793,13.815510557964274,Free,0.0,Everyone,3.3,3001
Lifestyle,3.7,5.2574953720277815,11.512925464970229,Free,0.0,Everyone,36.0,3136
Social,4.5,12.267290032802917,16.11809565095832,Free,0.0,Mature 17+,11.0,3133
Lifestyle,3.6,4.90527477843843,9.210340371976184,Free,0.0,Everyone 10+,75.0,3073
Lifestyle,4.0,9.772410288929185,15.424948470398375,Free,0.0,Everyone,19.0,2946
Lifestyle,3.2,6.240275845170769,11.512925464970229,Free,0.0,Everyone,34.0,2895
Social,4.4,12.087868896386281,16.11809565095832,Free,0.0,Mature 17+,13.0,3127
Tools,4.6,15.71803232690911,18.420680743952367,Free,0.0,Teen,17.0,3136
Lifestyle,4.5,11.877915740512675,15.424948470398375,Free,0.0,Everyone,55.0,3129
Lifestyle,5.0,2.8903717578961645,4.605170185988092,Free,0.0,Everyone,13.0,2958
Tools,4.2,2.833213344056216,6.907755278982137,Free,0.0,Everyone,0.9404296875,1221
Tools,3.0,1.3862943611198906,6.907755278982137,Free,0.0,Everyone,2.0,2266
Entertainment,4.3,11.35589731586288,13.815510557964274,Paid,0.99,Everyone,36.0,3080
Entertainment,4.2,13.077012392472408,16.11809565095832,Free,0.0,Everyone,51.0,3130
Social,4.0,1.791759469228055,6.907755278982137,Free,0.0,Everyone,4.2,3115
Lifestyle,5.0,1.0986122886681098,6.214608098422191,Free,0.0,Everyone,6.3,1918
Lifestyle,3.8,7.005789019253503,11.512925464970229,Free,0.0,Everyone,6.6,3080
Lifestyle,4.3,8.601901919343192,10.819778284410283,Paid,9.99,Teen,16.0,3100
Lifestyle,4.0,11.150146213311999,13.122363377404328,Free,0.0,Everyone 10+,45.0,3065
Lifestyle,4.0,12.70265430397277,16.11809565095832,Free,0.0,Everyone,15.0,2835
Lifestyle,3.2,5.717027701406222,9.210340371976184,Free,0.0,Teen,4.7,2966
Entertainment,4.2,14.494445724586035,18.420680743952367,Free,0.0,Teen,29.0,3052
Lifestyle,3.6,5.37989735354046,9.210340371976184,Paid,389.99,Everyone,4.9,3094
Social,4.2,11.389932631855782,15.424948470398375,Free,0.0,Everyone,5.1,2927
Education/Business,4.3,6.0473721790462776,11.512925464970229,Free,0.0,Everyone,21.0,3014
Tools,4.8,3.9318256327243257,8.517193191416238,Free,0.0,Everyone,3.4,3082
Lifestyle,5.0,0.0,2.302585092994046,Free,0.0,Everyone,8.2,2889
Entertainment,4.3,7.818430272070656,13.122363377404328,Free,0.0,Everyone,18.0,3132
Social,4.4,13.344797877401056,16.11809565095832,Free,0.0,Mature 17+,56.0,3129
Tools,4.5,8.008032846969307,9.210340371976184,Paid,2.99,Everyone,26.0,3137
Education/Business,4.2,8.815221555922163,13.815510557964274,Free,0.0,Mature 17+,22.0,2846
Social,4.7,13.705827379714426,15.424948470398375,Free,0.0,Everyone,6.6,2838
Education/Business,5.0,1.9459101490553132,6.907755278982137,Free,0.0,Everyone,15.0,2561
Lifestyle,3.6,6.79346613258001,10.819778284410283,Paid,2.49,Everyone,70.0,3134
Tools,3.4,2.6390573296152584,6.907755278982137,Free,0.0,Everyone,6.2,2946
Social,3.7,7.271703706887368,10.819778284410283,Free,0.0,Mature 17+,38.0,3132
Lifestyle,4.4,8.908694592507015,13.122363377404328,Free,0.0,Everyone,22.0,3108
Lifestyle,4.2,9.7473014693468,11.512925464970229,Free,0.0,Everyone,8.3,2365
Entertainment,4.3,11.555879584894827,15.424948470398375,Free,0.0,Everyone,12.0,3028
Entertainment,3.9,6.68586094706836,11.512925464970229,Free,0.0,Teen,57.0,3001
Entertainment,4.6,13.64964367738628,16.11809565095832,Free,0.0,Everyone,4.2,2870
Entertainment,4.3,7.234898420314831,10.819778284410283,Free,0.0,Everyone,14.0,3078
Lifestyle,3.6,1.9459101490553132,6.907755278982137,Free,0.0,Everyone,0.1875,2592
Lifestyle,4.4,12.679613760488895,16.11809565095832,Free,0.0,Everyone,30.0,3084
Lifestyle,4.1,8.193400231952097,13.815510557964274,Free,0.0,Everyone,19.0,3126
Lifestyle,3.4,6.38856140554563,11.512925464970229,Free,0.0,Everyone,22.0,2208
Lifestyle,4.6,9.234740258799718,13.815510557964274,Free,0.0,Everyone,15.0,3129
Entertainment,3.7,10.565324648253958,15.424948470398375,Free,0.0,Everyone 10+,4.1,465
Lifestyle,3.6,9.147294070258548,13.815510557964274,Free,0.0,Teen,64.0,3072
Social,5.0,1.6094379124341003,3.912023005428146,Free,0.0,Everyone,3.7,3013
Entertainment,3.4,7.326465613840322,10.819778284410283,Free,0.0,Everyone,6.3,3028
Entertainment,3.9,11.769643047664536,16.11809565095832,Free,0.0,Everyone,11.0,3132
Education/Business,4.1,1.9459101490553132,6.907755278982137,Free,0.0,Everyone,2.1,2958
Lifestyle,3.7,8.62317351495347,13.122363377404328,Free,0.0,Everyone,3.7,2265
Entertainment,4.5,9.244645175668174,13.815510557964274,Free,0.0,Everyone,11.0,2766
Lifestyle,4.0,7.970394907191429,13.122363377404328,Free,0.0,Everyone 10+,23.0,2609
